time_h,layer,solar_elev_deg,solar_az_deg,outside_ppfd,mean_assim,min_assim,max_assim,sunlit_frac_area,southwall_entry_frac,roof_entry_frac,mean_roof_incidence_deg,mean_entry_total_tau,mean_entry_direct_tau
8.0,top,23.469326176341507,109.24693642819688,713.2048906422932,11.217034102732327,5.59179052038002,13.000493813208749,0.7632411901244989,0.0013979742561721882,0.9616744038826757,41.96944433608536,0.8853801997006969,0.5041783280248748
8.0,mid,23.469326176341507,109.24693642819688,713.2048906422932,8.120813278973275,3.930569328874672,9.65571797716767,0.7695716395864106,0.009284659210803967,0.9115847225152985,41.969444336085374,0.8830667071606537,0.5218295988349624
8.0,bottom,23.469326176341507,109.24693642819688,713.2048906422932,1.1536177382358899,0.38512988744360943,1.5106107502969377,0.756198565098122,0.02162903566153197,0.8519466132095379,41.96944433608537,0.8791216267811729,0.5416550976733042
10.0,top,43.85711616413786,136.10039500565352,1326.0337500760063,15.651452595360198,7.049911789931855,17.093547913638858,0.8688541886473939,0.0018200042202996412,0.9876292466765141,43.062313831251096,0.8697756652565436,0.4849725485773197
10.0,mid,43.85711616413786,136.10039500565352,1326.0337500760063,15.161434851506456,5.22889500901004,17.13959642875715,0.8643964971512977,0.009996834775269045,0.9636262924667651,42.6883320596318,0.868165818848457,0.49235786527485986
10.0,bottom,43.85711616413786,136.10039500565352,1326.0337500760063,3.461496640119574,0.6473456741750883,3.9887866047698575,0.8731799957797004,0.022974256172188224,0.9349018780333403,42.317706952002744,0.864712765990468,0.49977739663765675
12.0,top,53.19651893170722,180.0,1559.2406593030357,17.13636406798775,6.844792744474302,17.832797402689568,0.9372230428360414,0.001740873602025744,0.9982591263979742,44.261378175025754,0.8796909895862061,0.4842217408328692
12.0,mid,53.19651893170722,180.0,1559.2406593030357,17.97382011126377,5.042719835772111,18.93067331661448,0.9372230428360414,0.010867271576281916,0.9891327284237181,44.261378175025754,0.8762197354933872,0.4843659906260264
12.0,bottom,53.19651893170722,180.0,1559.2406593030357,4.4660908723426855,0.6094918295840115,4.772212162085275,0.9372230428360414,0.02503165224730956,0.9749683477526905,44.26137817502575,0.8708322688811219,0.48458986964026174
14.0,top,43.85711616413786,223.89960499434648,1326.0337500760063,15.660083271808068,7.049911789931855,17.1011440655735,0.8690652036294577,0.0018200042202996412,0.9876292466765141,43.08799336008057,0.869711980432922,0.4849375219243278
14.0,mid,43.85711616413786,223.89960499434648,1326.0337500760063,15.259525981092365,5.22889500901004,17.2454314549395,0.8651350495885208,0.010761764085250054,0.9628613631567842,42.68141063051107,0.8678984389617355,0.4923829154319087
14.0,bottom,43.85711616413786,223.89960499434648,1326.0337500760063,3.369795038340192,0.6473456741750883,3.885828834377925,0.8739185482169234,0.023607301118379404,0.9342688330871491,42.30790489030513,0.8645000349090616,0.49980282965577627
16.0,top,23.469326176341507,250.75306357180312,713.2048906422932,11.222138084229874,5.59179052038002,12.996801365797392,0.7642962650348175,0.0013979742561721882,0.9616744038826757,41.96944433608536,0.8853801997006969,0.5041783280248748
16.0,mid,23.469326176341507,250.75306357180312,713.2048906422932,8.269880857294629,3.930569328874672,9.829866642595954,0.7697826545684744,0.008941759864950412,0.9119276218611522,41.969444336085374,0.8831989751444489,0.5218251938732326
16.0,bottom,23.469326176341507,250.75306357180312,713.2048906422932,1.1113175934411443,0.38512988744360943,1.462150198751385,0.7555655201519308,0.021365266933952312,0.8522103819371175,41.96944433608537,0.8792233713840923,0.5416517092412043
