date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-01-22,True,False,10.21182,14.79,,,,1.396250131892661,annual_fit,0.10253637715450394,452.65260073249556,0.9500000000000004,07:07,16:57,ok
2025-01-23,True,False,9.25932,14.92,,,,1.3951641896875713,annual_fit,0.05697279236165166,430.854429663459,1.0800000000000005,07:15,16:53,ok
2025-01-24,True,False,9.61464,15.05,,,,1.394036991669125,annual_fit,0.08848945061631602,458.48792720870506,1.2600000000000007,07:19,16:59,ok
2025-01-25,True,True,11.27775,15.18,1.346013167520117,True,-0.034218615347086756,1.3928689728215702,annual_fit,0.020559865938128193,492.21023036139684,0.9600000000000004,07:10,16:59,ok
2025-01-26,True,True,11.40183,15.32,1.3436439589083506,True,-0.03511240262711268,1.3916605829695796,annual_fit,0.023079072169405888,496.71045353609264,1.0100000000000005,07:02,17:02,ok
2025-01-27,True,False,4.7139,15.45,,,,1.390412286507908,annual_fit,0.19379714395868253,206.65004780907543,0.8600000000000003,07:18,16:39,ok
2025-01-28,True,False,11.50185,15.59,,,,1.38912456212353,annual_fit,0.10899375033292474,533.2770064869317,1.0600000000000005,07:21,17:04,ok
2025-01-29,True,False,10.72218,15.73,,,,1.3877979025105487,annual_fit,0.08594720112271817,546.2744867431529,1.540000000000001,07:03,16:57,ok
2025-01-30,True,False,6.57948,15.88,,,,1.3864328140781739,annual_fit,0.3146683841436936,217.96804591623047,0.5,07:04,16:59,ok
2025-01-31,True,False,4.13247,16.02,,,,1.3850298166520632,annual_fit,0.7133515828370747,150.38947867043933,0.5,07:04,16:26,ok
2025-02-01,True,False,7.85928,16.17,,,,1.3835894431693363,annual_fit,0.2176507345744677,388.7310422315223,1.1200000000000006,07:26,16:28,ok
2025-02-02,True,False,5.06001,16.32,,,,1.3821122393675704,annual_fit,0.23938219622276405,266.85767037571827,1.3600000000000008,08:13,16:56,ok
2025-02-03,True,False,7.47426,16.47,,,,1.380598763468088,annual_fit,0.24354788174299466,381.8670164080488,1.2700000000000007,07:34,16:35,ok
2025-02-04,True,False,8.71068,16.63,,,,1.3790495858538578,annual_fit,0.46139020728797325,328.6109442727082,0.5,07:03,16:52,ok
2025-02-05,True,False,10.90014,16.79,,,,1.377465288742323,annual_fit,0.2653074635152878,471.2284994578554,0.56,07:12,16:05,ok
2025-02-06,True,False,9.59346,16.95,,,,1.3758464658534872,annual_fit,0.3106313554483884,402.54724244405946,1.0300000000000005,06:57,17:04,ok
2025-02-07,True,False,9.57246,17.11,,,,1.3741937220735727,annual_fit,0.2928823300241132,436.4032262629181,1.2700000000000007,06:58,17:07,ok
2025-02-08,True,False,9.51426,17.27,,,,1.3725076731145873,annual_fit,0.28582791432944743,430.4273200028484,1.1400000000000006,07:29,17:12,ok
2025-02-09,True,False,12.01017,17.43,,,,1.3707889451701183,annual_fit,0.17342505576901504,518.6832144885027,0.5700000000000001,08:28,17:14,ok
2025-02-10,True,False,13.08765,17.6,,,,1.369038174567687,annual_fit,0.21058807512891375,559.4021980806884,0.8300000000000003,07:01,16:48,ok
2025-02-11,True,False,12.70485,17.77,,,,1.367256007417989,annual_fit,0.21952732176409148,569.7902527447825,1.1900000000000006,06:54,17:03,ok
2025-02-12,True,False,5.15769,17.94,,,,1.3654430992613504,annual_fit,0.3499040994072709,211.9568498773757,0.5800000000000001,06:52,16:06,ok
2025-02-13,True,False,12.38019,18.11,,,,1.3636001147117243,annual_fit,0.23356749485094302,512.648089460232,0.9200000000000004,06:53,17:23,ok
2025-02-14,True,False,11.9256,18.28,,,,1.361727727098555,annual_fit,0.29389259493757497,422.3664661116463,0.52,06:49,17:21,ok
2025-02-15,True,False,12.49905,18.46,,,,1.3598266181068361,annual_fit,0.13580195869254508,547.5334372767958,0.7500000000000002,06:50,15:59,ok
2025-02-16,True,False,11.03166,18.63,,,,1.3578974774156816,annual_fit,0.13355199543516227,470.7605324824126,1.0100000000000005,07:14,17:21,ok
2025-02-17,True,False,11.17278,18.81,,,,1.3559410023357312,annual_fit,0.2507758976699045,579.5289037153649,1.9800000000000013,06:47,17:17,ok
2025-02-18,True,False,10.12221,18.98,,,,1.3539578974457105,annual_fit,0.35089128544403586,363.14872943721303,0.6300000000000001,06:50,17:16,ok
2025-02-19,True,False,8.96112,19.16,,,,1.3519488742284527,annual_fit,0.4232575692528087,299.6825248419297,0.5,06:54,17:21,ok
2025-02-20,True,False,11.2887,19.34,,,,1.3499146507066997,annual_fit,0.33091931204628966,389.8836715609782,0.5,06:40,17:22,ok
2025-02-21,True,False,10.54374,19.52,,,,1.347855951078984,annual_fit,0.1859262584102507,398.14298888769963,0.7700000000000002,06:48,17:26,ok
2025-02-22,True,False,10.4583,19.69,,,,1.3457735053558968,annual_fit,0.2598908289854944,402.8701023381477,0.8500000000000003,06:55,17:25,ok
2025-02-23,True,False,11.50362,19.87,,,,1.3436680489970347,annual_fit,0.34986202426570373,407.10617164968943,0.6700000000000002,06:41,17:27,ok
2025-02-24,True,False,14.20746,20.05,,,,1.341540322548925,annual_fit,0.15046045773641342,592.715165989322,0.9800000000000004,06:42,17:26,ok
2025-02-25,True,True,15.48846,20.23,1.3061337279497123,True,-0.025143665592726072,1.3393910712842072,annual_fit,0.017420351843686042,627.4826799045233,1.0700000000000005,06:35,17:32,ok
2025-02-26,True,False,12.56052,20.41,,,,1.3372210448423598,annual_fit,0.394979543147369,450.2422370085829,0.54,06:45,17:31,ok
2025-02-27,True,True,15.25884,20.59,1.3493817354399156,True,0.010692003586562804,1.335030996872243,annual_fit,0.04556055041954103,639.3264755754509,1.0900000000000005,06:37,17:29,ok
2025-02-28,True,False,8.31918,20.77,,,,1.3328216846767276,annual_fit,0.22474067568148115,316.4969521004149,0.6300000000000001,06:37,16:30,ok
2025-03-01,True,True,15.54204,20.85,1.3415227344672902,True,0.008179977275933614,1.3305938688596728,annual_fit,0.037275147853280455,633.9881913633957,1.0500000000000005,06:32,17:22,ok
2025-03-02,True,False,6.4626,20.94,,,,1.3283483129755074,annual_fit,0.28386657340513055,261.61127375309394,0.8400000000000003,06:55,16:59,ok
2025-03-03,True,False,4.31361,21.12,,,,1.326085783181664,annual_fit,0.23103203789418966,236.23106220759087,1.1400000000000006,09:18,17:24,ok
2025-03-04,True,False,2.24136,21.29,,,,1.323807047894106,annual_fit,0.15850220092744946,106.5626337435692,1.3200000000000007,07:00,16:22,ok
2025-03-05,True,False,2.42616,21.47,,,,1.3215128774461842,annual_fit,0.252434033168808,109.31322515201325,0.5,09:25,17:16,ok
2025-03-06,True,False,9.76344,21.64,,,,1.319204043751044,annual_fit,0.12963057258170732,407.8375494033845,1.3100000000000007,06:38,17:42,ok
